iter	Logloss
290	0.5155728703
291	0.5155189904
292	0.5154777019
293	0.5154224087
294	0.5153953215
295	0.5153729177
296	0.5153422206
297	0.5152742917
298	0.5152122254
299	0.5151664178
300	0.5151021235
301	0.5150288912
302	0.514979463
303	0.5148939722
304	0.5148630717
305	0.51479607
306	0.5147709727
307	0.5147515129
308	0.5146997172
309	0.5145919879
310	0.5145492426
311	0.514497801
312	0.5144501446
313	0.5144149334
314	0.5143789375
315	0.5143384586
316	0.5143076027
317	0.5142502369
318	0.5142212163
319	0.5141683443
320	0.5141216908
321	0.5140866044
322	0.5140403468
323	0.5140001233
324	0.5139660583
325	0.5139242837
326	0.5138851227
